Date,Store,store_weekly_sales,date_independent_store_weekly_sales,efficiency_index,CPI,Size
2010-02-05,1,1112466.82,5811.417602870876,3.8406090624662963,191.42778854000005,151315
2010-02-05,2,1506524.4499999993,7869.936029090162,3.890095759954012,191.42778854000005,202307
2010-02-05,3,358646.22000000003,1873.5326920681562,5.010517469159597,191.42778854000005,37392
2010-02-05,4,1090558.0899999999,5696.968545254446,2.7673591394541255,191.42778854000005,205863
2010-02-05,5,187551.77000000002,979.7520591468876,2.809324900779606,191.42778854000005,34875
2010-02-05,6,1222787.5400000003,6387.722228450082,3.1543528448433777,191.42778854000005,202505
2010-02-05,7,381159.48,1991.1397551372447,2.8158043855263455,191.42778854000005,70713
2010-02-05,8,585708.9299999998,3059.6860281735544,1.9729981223471766,191.42778854000005,155078
2010-02-05,9,285833.61,1493.1667558823272,1.1866257308355734,191.42778854000005,125833
2010-02-05,10,1055294.0,5512.75239634025,4.3574936735963785,191.42778854000005,126512
2010-02-05,11,1170159.27,6112.797305577647,2.94594060963072,191.42778854000005,207499
2010-02-05,12,720642.5900000001,3764.5662392919367,3.3540924101391125,191.42778854000005,112238
2010-02-05,13,1347002.5799999994,7036.609419528109,3.2039638194389033,191.42778854000005,219622
2010-02-05,14,1654760.5399999998,8644.306830375503,4.30283369191107,191.42778854000005,200898
2010-02-05,15,444354.49,2321.2642918201464,1.8759661958994855,191.42778854000005,123737
2010-02-05,16,342743.81999999995,1790.4601135188973,3.130339202263925,191.42778854000005,57197
2010-02-05,17,467884.88999999996,2444.1847945301442,2.6228535804289654,191.42778854000005,93188
2010-02-05,18,891345.0700000001,4656.299259361437,3.8592486381287134,191.42778854000005,120653
2010-02-05,19,1145855.4600000002,5985.836584851767,2.9368393451306143,191.42778854000005,203819
2010-02-05,20,1550258.1099999996,8098.396381338665,3.9748291375065845,191.42778854000005,203742
2010-02-05,21,528549.47,2761.090612973133,1.969857821722041,191.42778854000005,140167
2010-02-05,22,716919.5899999999,3745.117652290043,3.1324955061519133,191.42778854000005,119557
2010-02-05,23,998455.33,5215.832756649991,4.553999944688423,191.42778854000005,114533
2010-02-05,24,1163520.9700000002,6078.119477188,2.9821162291974743,191.42778854000005,203819
2010-02-05,25,396436.94,2070.947708394813,1.6165765402318475,191.42778854000005,128107
2010-02-05,26,767211.7599999999,4007.8390177907013,2.627867144302913,191.42778854000005,152513
2010-02-05,27,1113253.18,5815.5254704171575,2.848178834001272,191.42778854000005,204184
2010-02-05,28,1060228.55,5538.530001763346,2.6846710171318486,191.42778854000005,206302
2010-02-05,29,386083.51,2016.8624051117083,2.1538930830557126,191.42778854000005,93638
2010-02-05,30,314566.8400000001,1643.2663324335972,3.8226163869768244,191.42778854000005,42988
2010-02-05,31,996457.24,5205.394930380152,2.5547950578552894,191.42778854000005,203750
2010-02-05,32,604853.5900000001,3159.6958550958348,1.5564467506518667,191.42778854000005,203007
2010-02-05,33,134830.47999999998,704.3412089140146,1.774606220493864,191.42778854000005,39690
2010-02-05,34,594371.6599999998,3104.939280410702,1.9637345715184626,191.42778854000005,158114
2010-02-05,35,944118.5700000001,4931.982849515709,4.756882022275739,191.42778854000005,103681
2010-02-05,36,232452.97999999995,1214.3115781302954,3.042624851241031,191.42778854000005,39910
2010-02-05,37,379506.18000000017,1982.503078024641,4.967434422512254,191.42778854000005,39910
2010-02-05,38,214151.81999999998,1118.708112512367,2.8186145439968935,191.42778854000005,39690
2010-02-05,39,615218.25,3213.8398227979646,1.745617988690376,191.42778854000005,184109
